ID,FirstName,LastName,Program and Plan,Academic Level,ASURITE,DECEMBER 31,MARCH 3,JULY 7,
6964501184,David,Campbell,GENERAL AGRICULTURE,UnderGrad,aCampbell,48,42,38,
2414173478,John,Frank,AGRICULTURE PRODUCTION AND MANAGEMENT,Grad,oFrank,22,40,17,
4339061929,Paul,Roy,AGRICULTURAL ECONOMICS,UnderGrad,aRoy,16,35,41,
2693784323,Mark,Timothy,ANIMAL SCIENCES,UnderGrad,aTimothy,30,46,21,
4034609059,James,Glen,FOOD SCIENCE,Grad,aGlen,15,7,31,
5035132613,Andrew,Marcus,PLANT SCIENCE AND AGRONOMY,PHD,nMarcus,11,39,2,
9127955185,Scott,Hamish,SOIL SCIENCE,Grad,cHamish,7,11,37,
1733044038,Steven,Niall,MISCELLANEOUS AGRICULTURE,Grad,tNiall,32,23,44,
431076000,Robert,Barrie,FORESTRY,PHD,oBarrie,36,2,40,
299694489,Stephen,Liam,NATURAL RESOURCES MANAGEMENT,UnderGrad,tLiam,21,26,37,
3027428890,William,Brendan,FINE ARTS,PHD,iBrendan,24,7,17,
2945078351,Craig,Terence,DRAMA AND THEATER ARTS,PHD,rTerence,35,14,3,
4398151508,Michael,Greg,MUSIC,PHD,iGreg,4,29,22,
5895249881,Stuart,Leslie,VISUAL AND PERFORMING ARTS,UnderGrad,tLeslie,49,28,46,
8387426179,Christopher,Lindsay,COMMERCIAL ART AND GRAPHIC DESIGN,Grad,hLindsay,21,20,47,
5709805619,Alan,Trevor,FILM VIDEO AND PHOTOGRAPHIC ARTS,Grad,lTrevor,0,27,3,
6182878897,Colin,Vincent,STUDIO ARTS,Grad,oVincent,19,46,41,
623282795,Brian,Christian,MISCELLANEOUS FINE ARTS,Grad,rChristian,5,43,0,
8948637276,Kevin,Lewis,ENVIRONMENTAL SCIENCE,Grad,eLewis,46,4,45,
6416345058,Gary,Rory,BIOLOGY,Grad,aRory,31,8,9,
6359870649,Richard,Antony,BIOCHEMICAL SCIENCES,UnderGrad,iAntony,16,45,38,
7076881447,Derek,Fergus,BOTANY,Grad,eFergus,50,9,37,
3443793294,Martin,Roger,MOLECULAR BIOLOGY,Grad,aRoger,41,1,20,
5045807833,Thomas,Arthur,ECOLOGY,Grad,hArthur,37,27,42,
3170457257,Neil,Dominic,GENETICS,Grad,eDominic,34,18,31,
1915799111,Barry,Ewen,MICROBIOLOGY,PHD,aEwen,20,17,12,
8177133290,Ian,Jon,PHARMACOLOGY,UnderGrad,aJon,35,18,35,
2466394507,Jason,Owen,PHYSIOLOGY,PHD,aOwen,27,49,19,
8277323017,Iain,Gregory,ZOOLOGY,PHD,aGregory,37,42,11,
5384768416,Gordon,Jeffrey,NEUROSCIENCE,Grad,oJeffrey,22,38,45,
1617858125,Alexander,Terry,MISCELLANEOUS BIOLOGY,PHD,lTerry,38,3,18,
6590191663,Graeme,Damian,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,PHD,rDamian,30,36,30,
7137185811,Peter,Geoffrey,GENERAL BUSINESS,Grad,eGeoffrey,4,48,5,
3230511923,Darren,Harry,ACCOUNTING,PHD,aHarry,25,39,50,
3940749873,Graham,Walter,ACTUARIAL SCIENCE,UnderGrad,rWalter,46,36,3,
4577044245,George,Bernard,BUSINESS MANAGEMENT AND ADMINISTRATION,PHD,eBernard,13,21,16,
8463214406,Kenneth,Desmond,OPERATIONS LOGISTICS AND E-COMMERCE,UnderGrad,eDesmond,11,37,20,
8990002461,Allan,Jack,BUSINESS ECONOMICS,Grad,lJack,20,32,32,
4204398925,Simon,Aaron,MARKETING AND MARKETING RESEARCH,UnderGrad,iAaron,27,27,39,
7065379886,Douglas,Archibald,FINANCE,PHD,oArchibald,47,33,25,
7528272034,Keith,Blair,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Grad,eBlair,18,16,46,
5262670567,Lee,Jeremy,INTERNATIONAL BUSINESS,UnderGrad,eJeremy,42,5,29,
1456455296,Anthony,Nathan,HOSPITALITY MANAGEMENT,PHD,nNathan,29,4,22,
7710858413,Grant,Alister,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,UnderGrad,rAlister,41,2,28,
